"Step","eager-universe-7 - Crash Rate","eager-universe-7 - Crash Rate__MIN","eager-universe-7 - Crash Rate__MAX"
"405","1","1","1"
"1255","0.9609755873680115","0.9609755873680115","0.9609755873680115"
"3413","0.30390244722366333","0.30390244722366333","0.30390244722366333"
"5871","0.03169185668230057","0.03169185668230057","0.03169185668230057"
"8339","0.02440214715898037","0.02440214715898037","0.02440214715898037"
"10729","0.02197265625","0.02197265625","0.02197265625"
"13095","0.019521716982126236","0.019521716982126236","0.019521716982126236"
"15395","0.025390625","0.025390625","0.025390625"
"17535","0.02392578125","0.02392578125","0.02392578125"
"19545","0.0283203125","0.0283203125","0.0283203125"
"21355","0.02733040414750576","0.02733040414750576","0.02733040414750576"
"23033","0.03752436488866806","0.03752436488866806","0.03752436488866806"
"24609","0.026829268783330917","0.026829268783330917","0.026829268783330917"
"26061","0.031219512224197388","0.031219512224197388","0.031219512224197388"
"27475","0.02490234375","0.02490234375","0.02490234375"
"28849","0.020009761676192284","0.020009761676192284","0.020009761676192284"
"30205","0.021961933001875877","0.021961933001875877","0.021961933001875877"
"31527","0.015602145344018936","0.015602145344018936","0.015602145344018936"