"Step","eager-universe-7 - info/epochs","eager-universe-7 - info/epochs__MIN","eager-universe-7 - info/epochs__MAX"
"297","1","1","1"
"301","2","2","2"
"621","3","3","3"
"625","4","4","4"
"917","5","5","5"
"921","6","6","6"
"949","7","7","7"
"1270","8","8","8"
"1274","9","9","9"
"1582","10","10","10"
"1586","11","11","11"
"1595","12","12","12"
"1911","13","13","13"
"1915","14","14","14"
"2227","15","15","15"
"2231","16","16","16"
"2507","17","17","17"
"2511","18","18","18"
"2557","19","19","19"
"2876","20","20","20"
"2880","21","21","21"
"3165","22","22","22"
"3169","23","23","23"
"3199","24","24","24"
"3522","25","25","25"
"3526","26","26","26"
"3830","27","27","27"
"3834","28","28","28"
"3851","29","29","29"
"4170","30","30","30"
"4174","31","31","31"
"4489","32","32","32"
"4493","33","33","33"
"4497","34","34","34"
"4816","35","35","35"
"4820","36","36","36"
"5138","37","37","37"
"5142","38","38","38"
"5414","39","39","39"
"5418","40","40","40"
"5467","41","41","41"
"5786","42","42","42"
"5790","43","43","43"
"6077","44","44","44"
"6081","45","45","45"
"6120","46","46","46"
"6438","47","47","47"
"6442","48","48","48"
"6737","49","49","49"
"6741","50","50","50"
"6767","51","51","51"
"7085","52","52","52"
"7089","53","53","53"
"7396","54","54","54"
"7400","55","55","55"
"7415","56","56","56"
"7734","57","57","57"
"7738","58","58","58"
"8055","59","59","59"
"8059","60","60","60"
"8322","61","61","61"
"8326","62","62","62"
"8389","63","63","63"
"8707","64","64","64"
"8711","65","65","65"
"8984","66","66","66"
"8988","67","67","67"
"9034","68","68","68"
"9352","69","69","69"
"9356","70","70","70"
"9645","71","71","71"
"9649","72","72","72"
"9679","73","73","73"
"9998","74","74","74"
"10002","75","75","75"
"10304","76","76","76"
"10308","77","77","77"
"10328","78","78","78"
"10647","79","79","79"
"10651","80","80","80"
"10968","81","81","81"
"10972","82","82","82"
"10982","83","83","83"
"11297","84","84","84"
"11301","85","85","85"
"11620","86","86","86"
"11624","87","87","87"
"11894","88","88","88"
"11898","89","89","89"
"11950","90","90","90"
"12267","91","91","91"
"12271","92","92","92"
"12553","93","93","93"
"12557","94","94","94"
"12598","95","95","95"
"12917","96","96","96"
"12921","97","97","97"
"13217","98","98","98"
"13221","99","99","99"
"13251","100","100","100"
"13563","101","101","101"
"13567","102","102","102"
"13878","103","103","103"
"13883","104","104","104"
"13887","105","105","105"
"14204","106","106","106"
"14208","107","107","107"
"14526","108","108","108"
"14530","109","109","109"
"14803","110","110","110"
"14807","111","111","111"
"14855","112","112","112"
"15173","113","113","113"
"15177","114","114","114"
"15467","115","115","115"
"15471","116","116","116"
"15506","117","117","117"
"15822","118","118","118"
"15826","119","119","119"
"16126","120","120","120"
"16130","121","121","121"
"16153","122","122","122"
"16471","123","123","123"
"16475","124","124","124"
"16785","125","125","125"
"16789","126","126","126"
"16801","127","127","127"
"17120","128","128","128"
"17124","129","129","129"
"17442","130","130","130"
"17446","131","131","131"
"17713","132","132","132"
"17717","133","133","133"
"17773","134","134","134"
"18091","135","135","135"
"18095","136","136","136"
"18373","137","137","137"
"18377","138","138","138"
"18420","139","139","139"
"18736","140","140","140"
"18740","141","141","141"
"19034","142","142","142"
"19038","143","143","143"
"19065","144","144","144"
"19383","145","145","145"
"19387","146","146","146"
"19696","147","147","147"
"19700","148","148","148"
"19715","149","149","149"
"20029","150","150","150"
"20033","151","151","151"
"20350","152","152","152"
"20354","153","153","153"
"20620","154","154","154"
"20624","155","155","155"
"20678","156","156","156"
"20992","157","157","157"
"20996","158","158","158"
"21282","159","159","159"
"21286","160","160","160"
"21318","161","161","161"
"21638","162","162","162"
"21642","163","163","163"
"21946","164","164","164"
"21950","165","165","165"
"21966","166","166","166"
"22280","167","167","167"
"22284","168","168","168"
"22602","169","169","169"
"22606","170","170","170"
"22870","171","171","171"
"22874","172","172","172"
"22930","173","173","173"
"23251","174","174","174"
"23255","175","175","175"
"23533","176","176","176"
"23537","177","177","177"
"23580","178","178","178"
"23898","179","179","179"
"23902","180","180","180"
"24192","181","181","181"
"24196","182","182","182"
"24227","183","183","183"
"24541","184","184","184"
"24545","185","185","185"
"24859","186","186","186"
"24863","187","187","187"
"24872","188","188","188"
"25186","189","189","189"
"25190","190","190","190"
"25506","191","191","191"
"25511","192","192","192"
"25780","193","193","193"
"25784","194","194","194"
"25835","195","195","195"
"26155","196","196","196"
"26159","197","197","197"
"26447","198","198","198"
"26451","199","199","199"
"26484","200","200","200"
"26796","201","201","201"
"26800","202","202","202"
"27104","203","203","203"
"27108","204","204","204"
"27123","205","205","205"
"27441","206","206","206"
"27445","207","207","207"
"27767","208","208","208"
"27771","209","209","209"
"28034","210","210","210"
"28038","211","211","211"
"28095","212","212","212"
"28412","213","213","213"
"28416","214","214","214"
"28692","215","215","215"
"28696","216","216","216"
"28740","217","217","217"
"29059","218","218","218"
"29063","219","219","219"
"29358","220","220","220"
"29362","221","221","221"
"29387","222","222","222"
"29702","223","223","223"
"29706","224","224","224"
"30016","225","225","225"
"30020","226","226","226"
"30027","227","227","227"
"30348","228","228","228"
"30352","229","229","229"
"30667","230","230","230"
"30671","231","231","231"
"30946","232","232","232"
"30950","233","233","233"
"30992","234","234","234"
"31305","235","235","235"
"31309","236","236","236"
"31610","237","237","237"
"31614","238","238","238"
"31637","239","239","239"
"31951","240","240","240"
"31955","241","241","241"
"32268","242","242","242"
"32272","243","243","243"