"Step","eager-universe-7 - global_step","eager-universe-7 - global_step__MIN","eager-universe-7 - global_step__MAX"
"297","1","1","1"
"298","54","54","54"
"299","54","54","54"
"300","54","54","54"
"301","16384","16384","16384"
"302","16384","16384","16384"
"303","16384","16384","16384"
"620","16384","16384","16384"
"621","32768","32768","32768"
"622","32768","32768","32768"
"623","32768","32768","32768"
"624","32768","32768","32768"
"625","49152","49152","49152"
"626","49152","49152","49152"
"627","49152","49152","49152"
"916","49152","49152","49152"
"917","65536","65536","65536"
"918","65536","65536","65536"
"919","65536","65536","65536"
"920","65536","65536","65536"
"921","81920","81920","81920"
"922","81920","81920","81920"
"923","81920","81920","81920"
"948","81920","81920","81920"
"949","98304","98304","98304"
"950","98304","98304","98304"
"951","98304","98304","98304"
"1269","98304","98304","98304"
"1270","114688","114688","114688"
"1271","114688","114688","114688"
"1272","114688","114688","114688"
"1273","114688","114688","114688"
"1274","131072","131072","131072"
"1275","131072","131072","131072"
"1276","131072","131072","131072"
"1581","131072","131072","131072"
"1582","147456","147456","147456"
"1583","147456","147456","147456"
"1584","147456","147456","147456"
"1585","147456","147456","147456"
"1586","163840","163840","163840"
"1587","163840","163840","163840"
"1588","163840","163840","163840"
"1594","163840","163840","163840"
"1595","180224","180224","180224"
"1596","180224","180224","180224"
"1597","180224","180224","180224"
"1910","180224","180224","180224"
"1911","196608","196608","196608"
"1912","196608","196608","196608"
"1913","196608","196608","196608"
"1914","196608","196608","196608"
"1915","212992","212992","212992"
"1916","212992","212992","212992"
"1917","212992","212992","212992"
"2226","212992","212992","212992"
"2227","229376","229376","229376"
"2228","229376","229376","229376"
"2229","229376","229376","229376"
"2230","229376","229376","229376"
"2231","245760","245760","245760"
"2232","245760","245760","245760"
"2233","245760","245760","245760"
"2506","245760","245760","245760"
"2507","262144","262144","262144"
"2508","262144","262144","262144"
"2509","262144","262144","262144"
"2510","262144","262144","262144"
"2511","278528","278528","278528"
"2512","278528","278528","278528"
"2513","278528","278528","278528"
"2556","278528","278528","278528"
"2557","294912","294912","294912"
"2558","294912","294912","294912"
"2559","294912","294912","294912"
"2875","294912","294912","294912"
"2876","311296","311296","311296"
"2877","311296","311296","311296"
"2878","311296","311296","311296"
"2879","311296","311296","311296"
"2880","327680","327680","327680"
"2881","327680","327680","327680"
"2882","327680","327680","327680"
"3164","327680","327680","327680"
"3165","344064","344064","344064"
"3166","344064","344064","344064"
"3167","344064","344064","344064"
"3168","344064","344064","344064"
"3169","360448","360448","360448"
"3170","360448","360448","360448"
"3171","360448","360448","360448"
"3198","360448","360448","360448"
"3199","376832","376832","376832"
"3200","376832","376832","376832"
"3201","376832","376832","376832"
"3521","376832","376832","376832"
"3522","393216","393216","393216"
"3523","393216","393216","393216"
"3524","393216","393216","393216"
"3525","393216","393216","393216"
"3526","409600","409600","409600"
"3527","409600","409600","409600"
"3528","409600","409600","409600"
"3829","409600","409600","409600"
"3830","425984","425984","425984"
"3831","425984","425984","425984"
"3832","425984","425984","425984"
"3833","425984","425984","425984"
"3834","442368","442368","442368"
"3835","442368","442368","442368"
"3836","442368","442368","442368"
"3850","442368","442368","442368"
"3851","458752","458752","458752"
"3852","458752","458752","458752"
"3853","458752","458752","458752"
"4169","458752","458752","458752"
"4170","475136","475136","475136"
"4171","475136","475136","475136"
"4172","475136","475136","475136"
"4173","475136","475136","475136"
"4174","491520","491520","491520"
"4175","491520","491520","491520"
"4176","491520","491520","491520"
"4488","491520","491520","491520"
"4489","507904","507904","507904"
"4490","507904","507904","507904"
"4491","507904","507904","507904"
"4492","507904","507904","507904"
"4493","524288","524288","524288"
"4494","524288","524288","524288"
"4495","524288","524288","524288"
"4496","524288","524288","524288"
"4497","540672","540672","540672"
"4498","540672","540672","540672"
"4499","540672","540672","540672"
"4815","540672","540672","540672"
"4816","557056","557056","557056"
"4817","557056","557056","557056"
"4818","557056","557056","557056"
"4819","557056","557056","557056"
"4820","573440","573440","573440"
"4821","573440","573440","573440"
"4822","573440","573440","573440"
"5137","573440","573440","573440"
"5138","589824","589824","589824"
"5139","589824","589824","589824"
"5140","589824","589824","589824"
"5141","589824","589824","589824"
"5142","606208","606208","606208"
"5143","606208","606208","606208"
"5144","606208","606208","606208"
"5413","606208","606208","606208"
"5414","622592","622592","622592"
"5415","622592","622592","622592"
"5416","622592","622592","622592"
"5417","622592","622592","622592"
"5418","638976","638976","638976"
"5419","638976","638976","638976"
"5420","638976","638976","638976"
"5466","638976","638976","638976"
"5467","655360","655360","655360"
"5468","655360","655360","655360"
"5469","655360","655360","655360"
"5785","655360","655360","655360"
"5786","671744","671744","671744"
"5787","671744","671744","671744"
"5788","671744","671744","671744"
"5789","671744","671744","671744"
"5790","688128","688128","688128"
"5791","688128","688128","688128"
"5792","688128","688128","688128"
"6076","688128","688128","688128"
"6077","704512","704512","704512"
"6078","704512","704512","704512"
"6079","704512","704512","704512"
"6080","704512","704512","704512"
"6081","720896","720896","720896"
"6082","720896","720896","720896"
"6083","720896","720896","720896"
"6119","720896","720896","720896"
"6120","737280","737280","737280"
"6121","737280","737280","737280"
"6122","737280","737280","737280"
"6437","737280","737280","737280"
"6438","753664","753664","753664"
"6439","753664","753664","753664"
"6440","753664","753664","753664"
"6441","753664","753664","753664"
"6442","770048","770048","770048"
"6443","770048","770048","770048"
"6444","770048","770048","770048"
"6736","770048","770048","770048"
"6737","786432","786432","786432"
"6738","786432","786432","786432"
"6739","786432","786432","786432"
"6740","786432","786432","786432"
"6741","802816","802816","802816"
"6742","802816","802816","802816"
"6743","802816","802816","802816"
"6766","802816","802816","802816"
"6767","819200","819200","819200"
"6768","819200","819200","819200"
"6769","819200","819200","819200"
"7084","819200","819200","819200"
"7085","835584","835584","835584"
"7086","835584","835584","835584"
"7087","835584","835584","835584"
"7088","835584","835584","835584"
"7089","851968","851968","851968"
"7090","851968","851968","851968"
"7091","851968","851968","851968"
"7395","851968","851968","851968"
"7396","868352","868352","868352"
"7397","868352","868352","868352"
"7398","868352","868352","868352"
"7399","868352","868352","868352"
"7400","884736","884736","884736"
"7401","884736","884736","884736"
"7402","884736","884736","884736"
"7414","884736","884736","884736"
"7415","901120","901120","901120"
"7416","901120","901120","901120"
"7417","901120","901120","901120"
"7733","901120","901120","901120"
"7734","917504","917504","917504"
"7735","917504","917504","917504"
"7736","917504","917504","917504"
"7737","917504","917504","917504"
"7738","933888","933888","933888"
"7739","933888","933888","933888"
"7740","933888","933888","933888"
"8054","933888","933888","933888"
"8055","950272","950272","950272"
"8056","950272","950272","950272"
"8057","950272","950272","950272"
"8058","950272","950272","950272"
"8059","966656","966656","966656"
"8060","966656","966656","966656"
"8061","966656","966656","966656"
"8321","966656","966656","966656"
"8322","983040","983040","983040"
"8323","983040","983040","983040"
"8324","983040","983040","983040"
"8325","983040","983040","983040"
"8326","999424","999424","999424"
"8327","999424","999424","999424"
"8328","999424","999424","999424"
"8388","999424","999424","999424"
"8389","1015808","1015808","1015808"
"8390","1015808","1015808","1015808"
"8391","1015808","1015808","1015808"
"8706","1015808","1015808","1015808"
"8707","1032192","1032192","1032192"
"8708","1032192","1032192","1032192"
"8709","1032192","1032192","1032192"
"8710","1032192","1032192","1032192"
"8711","1048576","1048576","1048576"
"8712","1048576","1048576","1048576"
"8713","1048576","1048576","1048576"
"8983","1048576","1048576","1048576"
"8984","1064960","1064960","1064960"
"8985","1064960","1064960","1064960"
"8986","1064960","1064960","1064960"
"8987","1064960","1064960","1064960"
"8988","1081344","1081344","1081344"
"8989","1081344","1081344","1081344"
"8990","1081344","1081344","1081344"
"9033","1081344","1081344","1081344"
"9034","1097728","1097728","1097728"
"9035","1097728","1097728","1097728"
"9036","1097728","1097728","1097728"
"9351","1097728","1097728","1097728"
"9352","1114112","1114112","1114112"
"9353","1114112","1114112","1114112"
"9354","1114112","1114112","1114112"
"9355","1114112","1114112","1114112"
"9356","1130496","1130496","1130496"
"9357","1130496","1130496","1130496"
"9358","1130496","1130496","1130496"
"9644","1130496","1130496","1130496"
"9645","1146880","1146880","1146880"
"9646","1146880","1146880","1146880"
"9647","1146880","1146880","1146880"
"9648","1146880","1146880","1146880"
"9649","1163264","1163264","1163264"
"9650","1163264","1163264","1163264"
"9651","1163264","1163264","1163264"
"9678","1163264","1163264","1163264"
"9679","1179648","1179648","1179648"
"9680","1179648","1179648","1179648"
"9681","1179648","1179648","1179648"
"9997","1179648","1179648","1179648"
"9998","1196032","1196032","1196032"
"9999","1196032","1196032","1196032"
"10000","1196032","1196032","1196032"
"10001","1196032","1196032","1196032"
"10002","1212416","1212416","1212416"
"10003","1212416","1212416","1212416"
"10004","1212416","1212416","1212416"
"10303","1212416","1212416","1212416"
"10304","1228800","1228800","1228800"
"10305","1228800","1228800","1228800"
"10306","1228800","1228800","1228800"
"10307","1228800","1228800","1228800"
"10308","1245184","1245184","1245184"
"10309","1245184","1245184","1245184"
"10310","1245184","1245184","1245184"
"10327","1245184","1245184","1245184"
"10328","1261568","1261568","1261568"
"10329","1261568","1261568","1261568"
"10330","1261568","1261568","1261568"
"10646","1261568","1261568","1261568"
"10647","1277952","1277952","1277952"
"10648","1277952","1277952","1277952"
"10649","1277952","1277952","1277952"
"10650","1277952","1277952","1277952"
"10651","1294336","1294336","1294336"
"10652","1294336","1294336","1294336"
"10653","1294336","1294336","1294336"
"10967","1294336","1294336","1294336"
"10968","1310720","1310720","1310720"
"10969","1310720","1310720","1310720"
"10970","1310720","1310720","1310720"
"10971","1310720","1310720","1310720"
"10972","1327104","1327104","1327104"
"10973","1327104","1327104","1327104"
"10974","1327104","1327104","1327104"
"10981","1327104","1327104","1327104"
"10982","1343488","1343488","1343488"
"10983","1343488","1343488","1343488"
"10984","1343488","1343488","1343488"
"11296","1343488","1343488","1343488"
"11297","1359872","1359872","1359872"
"11298","1359872","1359872","1359872"
"11299","1359872","1359872","1359872"
"11300","1359872","1359872","1359872"
"11301","1376256","1376256","1376256"
"11302","1376256","1376256","1376256"
"11303","1376256","1376256","1376256"
"11619","1376256","1376256","1376256"
"11620","1392640","1392640","1392640"
"11621","1392640","1392640","1392640"
"11622","1392640","1392640","1392640"
"11623","1392640","1392640","1392640"
"11624","1409024","1409024","1409024"
"11625","1409024","1409024","1409024"
"11626","1409024","1409024","1409024"
"11893","1409024","1409024","1409024"
"11894","1425408","1425408","1425408"
"11895","1425408","1425408","1425408"
"11896","1425408","1425408","1425408"
"11897","1425408","1425408","1425408"
"11898","1441792","1441792","1441792"
"11899","1441792","1441792","1441792"
"11900","1441792","1441792","1441792"
"11949","1441792","1441792","1441792"
"11950","1458176","1458176","1458176"
"11951","1458176","1458176","1458176"
"11952","1458176","1458176","1458176"
"12266","1458176","1458176","1458176"
"12267","1474560","1474560","1474560"
"12268","1474560","1474560","1474560"
"12269","1474560","1474560","1474560"
"12270","1474560","1474560","1474560"
"12271","1490944","1490944","1490944"
"12272","1490944","1490944","1490944"
"12273","1490944","1490944","1490944"
"12552","1490944","1490944","1490944"
"12553","1507328","1507328","1507328"
"12554","1507328","1507328","1507328"
"12555","1507328","1507328","1507328"
"12556","1507328","1507328","1507328"
"12557","1523712","1523712","1523712"
"12558","1523712","1523712","1523712"
"12559","1523712","1523712","1523712"
"12597","1523712","1523712","1523712"
"12598","1540096","1540096","1540096"
"12599","1540096","1540096","1540096"
"12600","1540096","1540096","1540096"
"12916","1540096","1540096","1540096"
"12917","1556480","1556480","1556480"
"12918","1556480","1556480","1556480"
"12919","1556480","1556480","1556480"
"12920","1556480","1556480","1556480"
"12921","1572864","1572864","1572864"
"12922","1572864","1572864","1572864"
"12923","1572864","1572864","1572864"
"13216","1572864","1572864","1572864"
"13217","1589248","1589248","1589248"
"13218","1589248","1589248","1589248"
"13219","1589248","1589248","1589248"
"13220","1589248","1589248","1589248"
"13221","1605632","1605632","1605632"
"13222","1605632","1605632","1605632"
"13223","1605632","1605632","1605632"
"13250","1605632","1605632","1605632"
"13251","1622016","1622016","1622016"
"13252","1622016","1622016","1622016"
"13253","1622016","1622016","1622016"
"13562","1622016","1622016","1622016"
"13563","1638400","1638400","1638400"
"13564","1638400","1638400","1638400"
"13565","1638400","1638400","1638400"
"13566","1638400","1638400","1638400"
"13567","1654784","1654784","1654784"
"13568","1654784","1654784","1654784"
"13569","1654784","1654784","1654784"
"13877","1654784","1654784","1654784"
"13878","1671168","1671168","1671168"
"13879","1671168","1671168","1671168"
"13881","1671168","1671168","1671168"
"13882","1671168","1671168","1671168"
"13883","1687552","1687552","1687552"
"13884","1687552","1687552","1687552"
"13885","1687552","1687552","1687552"
"13886","1687552","1687552","1687552"
"13887","1703936","1703936","1703936"
"13888","1703936","1703936","1703936"
"13889","1703936","1703936","1703936"
"14203","1703936","1703936","1703936"
"14204","1720320","1720320","1720320"
"14205","1720320","1720320","1720320"
"14206","1720320","1720320","1720320"
"14207","1720320","1720320","1720320"
"14208","1736704","1736704","1736704"
"14209","1736704","1736704","1736704"
"14210","1736704","1736704","1736704"
"14525","1736704","1736704","1736704"
"14526","1753088","1753088","1753088"
"14527","1753088","1753088","1753088"
"14528","1753088","1753088","1753088"
"14529","1753088","1753088","1753088"
"14530","1769472","1769472","1769472"
"14531","1769472","1769472","1769472"
"14532","1769472","1769472","1769472"
"14802","1769472","1769472","1769472"
"14803","1785856","1785856","1785856"
"14804","1785856","1785856","1785856"
"14805","1785856","1785856","1785856"
"14806","1785856","1785856","1785856"
"14807","1802240","1802240","1802240"
"14808","1802240","1802240","1802240"
"14809","1802240","1802240","1802240"
"14854","1802240","1802240","1802240"
"14855","1818624","1818624","1818624"
"14856","1818624","1818624","1818624"
"14857","1818624","1818624","1818624"
"15172","1818624","1818624","1818624"
"15173","1835008","1835008","1835008"
"15174","1835008","1835008","1835008"
"15175","1835008","1835008","1835008"
"15176","1835008","1835008","1835008"
"15177","1851392","1851392","1851392"
"15178","1851392","1851392","1851392"
"15179","1851392","1851392","1851392"
"15466","1851392","1851392","1851392"
"15467","1867776","1867776","1867776"
"15468","1867776","1867776","1867776"
"15469","1867776","1867776","1867776"
"15470","1867776","1867776","1867776"
"15471","1884160","1884160","1884160"
"15472","1884160","1884160","1884160"
"15473","1884160","1884160","1884160"
"15505","1884160","1884160","1884160"
"15506","1900544","1900544","1900544"
"15507","1900544","1900544","1900544"
"15508","1900544","1900544","1900544"
"15821","1900544","1900544","1900544"
"15822","1916928","1916928","1916928"
"15823","1916928","1916928","1916928"
"15824","1916928","1916928","1916928"
"15825","1916928","1916928","1916928"
"15826","1933312","1933312","1933312"
"15827","1933312","1933312","1933312"
"15828","1933312","1933312","1933312"
"16125","1933312","1933312","1933312"
"16126","1949696","1949696","1949696"
"16127","1949696","1949696","1949696"
"16128","1949696","1949696","1949696"
"16129","1949696","1949696","1949696"
"16130","1966080","1966080","1966080"
"16131","1966080","1966080","1966080"
"16132","1966080","1966080","1966080"
"16152","1966080","1966080","1966080"
"16153","1982464","1982464","1982464"
"16154","1982464","1982464","1982464"
"16155","1982464","1982464","1982464"
"16470","1982464","1982464","1982464"
"16471","1998848","1998848","1998848"
"16472","1998848","1998848","1998848"
"16473","1998848","1998848","1998848"
"16474","1998848","1998848","1998848"
"16475","2015232","2015232","2015232"
"16476","2015232","2015232","2015232"
"16477","2015232","2015232","2015232"
"16784","2015232","2015232","2015232"
"16785","2031616","2031616","2031616"
"16786","2031616","2031616","2031616"
"16787","2031616","2031616","2031616"
