"Step","resilient-blaze-9 - Crash Rate","resilient-blaze-9 - Crash Rate__MIN","resilient-blaze-9 - Crash Rate__MAX"
"401","1","1","1"
"955","1","1","1"
"2811","0.49462890625","0.49462890625","0.49462890625"
"5291","0.017081502825021744","0.017081502825021744","0.017081502825021744"
"7751","0.02926829271018505","0.02926829271018505","0.02926829271018505"
"10215","0.0185546875","0.0185546875","0.0185546875"
"12623","0.012195121496915817","0.012195121496915817","0.012195121496915817"
"14959","0.013164309784770012","0.013164309784770012","0.013164309784770012"
"17167","0.0146484375","0.0146484375","0.0146484375"
"19207","0.01999024860560894","0.01999024860560894","0.01999024860560894"
"21213","0.026829268783330917","0.026829268783330917","0.026829268783330917"
"23129","0.04489995166659355","0.04489995166659355","0.04489995166659355"
"24875","0.03219512104988098","0.03219512104988098","0.03219512104988098"
"26489","0.018536584451794624","0.018536584451794624","0.018536584451794624"
"27993","0.014598540030419827","0.014598540030419827","0.014598540030419827"
"29439","0.009268292225897312","0.009268292225897312","0.009268292225897312"
"30803","0.01073694508522749","0.01073694508522749","0.01073694508522749"
"32091","0.01513671875","0.01513671875","0.01513671875"
"33355","0.01170731708407402","0.01170731708407402","0.01170731708407402"
"34581","0.01706484705209732","0.01706484705209732","0.01706484705209732"
"35769","0.01123046875","0.01123046875","0.01123046875"
"36965","0.014146341010928154","0.014146341010928154","0.014146341010928154"
"38145","0.014634146355092525","0.014634146355092525","0.014634146355092525"