"Step","resilient-blaze-9 - Success Rate","resilient-blaze-9 - Success Rate__MIN","resilient-blaze-9 - Success Rate__MAX"
"400","0","0","0"
"954","0","0","0"
"2810","0.00048828125","0.00048828125","0.00048828125"
"5290","0.00048804294783622026","0.00048804294783622026","0.00048804294783622026"
"7750","0.017073171213269234","0.017073171213269234","0.017073171213269234"
"10214","0.0244140625","0.0244140625","0.0244140625"
"12622","0.11609756201505661","0.11609756201505661","0.11609756201505661"
"14958","0.22623111307621002","0.22623111307621002","0.22623111307621002"
"17166","0.34228515625","0.34228515625","0.34228515625"
"19206","0.521209180355072","0.521209180355072","0.521209180355072"
"21212","0.5448780655860901","0.5448780655860901","0.5448780655860901"
"23128","0.5929721593856812","0.5929721593856812","0.5929721593856812"
"24874","0.742926836013794","0.742926836013794","0.742926836013794"
"26488","0.819024384021759","0.819024384021759","0.819024384021759"
"27992","0.8754258155822754","0.8754258155822754","0.8754258155822754"
"29438","0.9282926917076111","0.9282926917076111","0.9282926917076111"
"30802","0.9511957168579102","0.9511957168579102","0.9511957168579102"
"32090","0.96142578125","0.96142578125","0.96142578125"
"33354","0.9697561264038086","0.9697561264038086","0.9697561264038086"
"34580","0.9722086787223816","0.9722086787223816","0.9722086787223816"
"35768","0.9794921875","0.9794921875","0.9794921875"
"36964","0.9770731925964355","0.9770731925964355","0.9770731925964355"
"38144","0.9775609970092773","0.9775609970092773","0.9775609970092773"