"Step","breezy-waterfall-1 - step_crash","breezy-waterfall-1 - step_crash__MIN","breezy-waterfall-1 - step_crash__MAX"
"1","256","256","256"
"3","0","0","0"
"5","0","0","0"
"7","0","0","0"
"9","0","0","0"
"11","0","0","0"
"13","0","0","0"
"15","0","0","0"
"17","0","0","0"
"19","0","0","0"
"21","0","0","0"
"23","0","0","0"
"25","0","0","0"
"27","0","0","0"
"29","0","0","0"
"31","0","0","0"
"33","0","0","0"
"35","0","0","0"
"37","1","1","1"
"39","0","0","0"
"41","0","0","0"
"43","1","1","1"
"45","0","0","0"
"47","0","0","0"
"49","0","0","0"
"51","0","0","0"
"53","0","0","0"
"55","1","1","1"
"57","1","1","1"
"59","0","0","0"
"61","0","0","0"
"63","0","0","0"
"65","1","1","1"
"67","1","1","1"
"69","0","0","0"
"71","0","0","0"
"73","1","1","1"
"75","3","3","3"
"77","0","0","0"
"79","0","0","0"
"81","0","0","0"
"83","0","0","0"
"85","1","1","1"
"87","3","3","3"
"89","0","0","0"
"91","0","0","0"
"93","2","2","2"
"95","0","0","0"
"97","1","1","1"
"99","0","0","0"
"101","2","2","2"
"103","2","2","2"
"105","1","1","1"
"107","0","0","0"
"109","3","3","3"
"111","0","0","0"
"113","1","1","1"
"115","0","0","0"
"117","0","0","0"
"119","0","0","0"
"121","0","0","0"
"123","1","1","1"
"125","2","2","2"
"127","1","1","1"
"129","1","1","1"
"131","0","0","0"
"133","1","1","1"
"135","0","0","0"
"137","1","1","1"
"139","2","2","2"
"141","3","3","3"
"143","0","0","0"
"145","1","1","1"
"147","1","1","1"
"149","1","1","1"
"151","1","1","1"
"153","1","1","1"
"155","0","0","0"
"157","0","0","0"
"159","1","1","1"
"161","0","0","0"
"163","0","0","0"
"165","1","1","1"
"167","0","0","0"
"169","0","0","0"
"171","2","2","2"
"173","2","2","2"
"175","2","2","2"
"177","1","1","1"
"179","0","0","0"
"181","1","1","1"
"183","1","1","1"
"185","0","0","0"
"187","1","1","1"
"189","0","0","0"
"191","1","1","1"
"193","0","0","0"
"195","1","1","1"
"197","0","0","0"
"199","1","1","1"
"201","0","0","0"
"203","0","0","0"
"205","1","1","1"
"207","0","0","0"
"209","0","0","0"
"211","0","0","0"
"213","0","0","0"
"215","0","0","0"
"217","2","2","2"
"219","1","1","1"
"221","1","1","1"
"223","0","0","0"
"225","0","0","0"
"227","0","0","0"
"229","1","1","1"
"231","0","0","0"
"233","0","0","0"
"235","1","1","1"
"237","0","0","0"
"239","4","4","4"
"241","0","0","0"
"243","0","0","0"
"245","1","1","1"
"247","0","0","0"
"249","4","4","4"
"251","1","1","1"
"253","0","0","0"
"255","0","0","0"