"Step","still-disco-8 - Crash Rate","still-disco-8 - Crash Rate__MIN","still-disco-8 - Crash Rate__MAX"
"282","1","1","1"
"599","1","1","1"
"937","1","1","1"
"1295","1","1","1"
"1693","1","1","1"
"2221","1","1","1"
"3607","0.763671875","0.763671875","0.763671875"
"6057","0.03414634242653847","0.03414634242653847","0.03414634242653847"
"8543","0.0166015625","0.0166015625","0.0166015625"
"11015","0.017081502825021744","0.017081502825021744","0.017081502825021744"
"13471","0.01611328125","0.01611328125","0.01611328125"
"15909","0.028780488297343254","0.028780488297343254","0.028780488297343254"
"18297","0.03955078125","0.03955078125","0.03955078125"
"20659","0.018048780038952827","0.018048780038952827","0.018048780038952827"
"22989","0.02391410432755947","0.02391410432755947","0.02391410432755947"
"25253","0.037109375","0.037109375","0.037109375"
"27459","0.034651048481464386","0.034651048481464386","0.034651048481464386"
"29545","0.03073170781135559","0.03073170781135559","0.03073170781135559"
"31575","0.029296875","0.029296875","0.029296875"
"33469","0.02389078587293625","0.02389078587293625","0.02389078587293625"
"35251","0.02587890625","0.02587890625","0.02587890625"
"36911","0.025390625","0.025390625","0.025390625"