"Step","still-disco-8 - rewards/step","still-disco-8 - rewards/step__MIN","still-disco-8 - rewards/step__MAX"
"302","-1255.924560546875","-1255.924560546875","-1255.924560546875"
"306","-1230.84423828125","-1230.84423828125","-1230.84423828125"
"626","-1228.05517578125","-1228.05517578125","-1228.05517578125"
"630","-1208.249755859375","-1208.249755859375","-1208.249755859375"
"921","-1188.5074462890625","-1188.5074462890625","-1188.5074462890625"
"925","-1165.363525390625","-1165.363525390625","-1165.363525390625"
"956","-1136.4876708984375","-1136.4876708984375","-1136.4876708984375"
"1273","-1111.8203125","-1111.8203125","-1111.8203125"
"1277","-1096.5225830078125","-1096.5225830078125","-1096.5225830078125"
"1590","-1086.641357421875","-1086.641357421875","-1086.641357421875"
"1594","-1091.260498046875","-1091.260498046875","-1091.260498046875"
"1605","-1079.2554931640625","-1079.2554931640625","-1079.2554931640625"
"1926","-1067.7799072265625","-1067.7799072265625","-1067.7799072265625"
"1930","-1076.5013427734375","-1076.5013427734375","-1076.5013427734375"
"2252","-1052.560791015625","-1052.560791015625","-1052.560791015625"
"2256","-1065.9857177734375","-1065.9857177734375","-1065.9857177734375"
"2522","-1051.7847900390625","-1051.7847900390625","-1051.7847900390625"
"2526","-1053.02001953125","-1053.02001953125","-1053.02001953125"
"2580","-1042.793701171875","-1042.793701171875","-1042.793701171875"
"2899","-1041.7349853515625","-1041.7349853515625","-1041.7349853515625"
"2903","-1036.12841796875","-1036.12841796875","-1036.12841796875"
"3182","-902.2999877929688","-902.2999877929688","-902.2999877929688"
"3186","-696.8688354492188","-696.8688354492188","-696.8688354492188"
"3229","-581.724365234375","-581.724365234375","-581.724365234375"
"3548","-494.9263610839844","-494.9263610839844","-494.9263610839844"
"3552","-438.67425537109375","-438.67425537109375","-438.67425537109375"
"3845","-438.9129943847656","-438.9129943847656","-438.9129943847656"
"3849","-322.7864990234375","-322.7864990234375","-322.7864990234375"
"3883","-260.71832275390625","-260.71832275390625","-260.71832275390625"
"4201","-208.61395263671875","-208.61395263671875","-208.61395263671875"
"4205","-213.102294921875","-213.102294921875","-213.102294921875"
"4505","-228.98619079589844","-228.98619079589844","-228.98619079589844"
"4509","-191.41477966308594","-191.41477966308594","-191.41477966308594"
"4529","-189.80274963378906","-189.80274963378906","-189.80274963378906"
"4848","-190.81954956054688","-190.81954956054688","-190.81954956054688"
"4852","-177.99241638183594","-177.99241638183594","-177.99241638183594"
"5166","-191.56126403808594","-191.56126403808594","-191.56126403808594"
"5170","-206.09393310546875","-206.09393310546875","-206.09393310546875"
"5179","-186.39112854003906","-186.39112854003906","-186.39112854003906"
"5498","-162.14846801757812","-162.14846801757812","-162.14846801757812"
"5502","-170.2918701171875","-170.2918701171875","-170.2918701171875"
"5822","-179.8913116455078","-179.8913116455078","-179.8913116455078"
"5826","-170.29202270507812","-170.29202270507812","-170.29202270507812"
"6094","-160.5836639404297","-160.5836639404297","-160.5836639404297"
"6098","-164.70071411132812","-164.70071411132812","-164.70071411132812"
"6157","-170.23155212402344","-170.23155212402344","-170.23155212402344"
"6475","-164.63137817382812","-164.63137817382812","-164.63137817382812"
"6479","-163.5217742919922","-163.5217742919922","-163.5217742919922"
"6755","-180.63832092285156","-180.63832092285156","-180.63832092285156"
"6759","-157.76889038085938","-157.76889038085938","-157.76889038085938"
"6802","-172.35333251953125","-172.35333251953125","-172.35333251953125"
"7120","-168.0119171142578","-168.0119171142578","-168.0119171142578"
"7124","-160.49603271484375","-160.49603271484375","-160.49603271484375"
"7414","-177.82411193847656","-177.82411193847656","-177.82411193847656"
"7418","-187.10626220703125","-187.10626220703125","-187.10626220703125"
"7451","-181.40542602539062","-181.40542602539062","-181.40542602539062"
"7770","-159.81365966796875","-159.81365966796875","-159.81365966796875"
"7774","-165.6127166748047","-165.6127166748047","-165.6127166748047"
"8074","-163.02476501464844","-163.02476501464844","-163.02476501464844"
"8078","-157.18829345703125","-157.18829345703125","-157.18829345703125"
"8101","-179.0895538330078","-179.0895538330078","-179.0895538330078"
"8418","-174.51856994628906","-174.51856994628906","-174.51856994628906"
"8422","-137.7073211669922","-137.7073211669922","-137.7073211669922"
"8739","-171.57907104492188","-171.57907104492188","-171.57907104492188"
"8743","-174.90020751953125","-174.90020751953125","-174.90020751953125"
"8752","-166.52308654785156","-166.52308654785156","-166.52308654785156"
"9069","-170.8358917236328","-170.8358917236328","-170.8358917236328"
"9073","-156.22596740722656","-156.22596740722656","-156.22596740722656"
"9392","-148.75926208496094","-148.75926208496094","-148.75926208496094"
"9396","-130.24693298339844","-130.24693298339844","-130.24693298339844"
"9662","-122.39828491210938","-122.39828491210938","-122.39828491210938"
"9666","-114.43315124511719","-114.43315124511719","-114.43315124511719"
"9723","-146.51174926757812","-146.51174926757812","-146.51174926757812"
"10043","-171.02056884765625","-171.02056884765625","-171.02056884765625"
"10047","-147.28993225097656","-147.28993225097656","-147.28993225097656"
"10321","-154.1215362548828","-154.1215362548828","-154.1215362548828"
"10325","-164.45822143554688","-164.45822143554688","-164.45822143554688"
"10374","-199.9237518310547","-199.9237518310547","-199.9237518310547"
"10686","-160.61643981933594","-160.61643981933594","-160.61643981933594"
"10690","-156.79653930664062","-156.79653930664062","-156.79653930664062"
"10981","-158.13278198242188","-158.13278198242188","-158.13278198242188"
"10985","-172.45249938964844","-172.45249938964844","-172.45249938964844"
"11022","-170.9170684814453","-170.9170684814453","-170.9170684814453"
"11339","-117.81055450439453","-117.81055450439453","-117.81055450439453"
"11343","-144.3556671142578","-144.3556671142578","-144.3556671142578"
"11645","-118.63396453857422","-118.63396453857422","-118.63396453857422"
"11649","-148.07015991210938","-148.07015991210938","-148.07015991210938"
"11669","-134.453857421875","-134.453857421875","-134.453857421875"
"11989","-142.018310546875","-142.018310546875","-142.018310546875"
"11993","-132.73741149902344","-132.73741149902344","-132.73741149902344"
"12305","-143.72647094726562","-143.72647094726562","-143.72647094726562"
"12309","-167.3085479736328","-167.3085479736328","-167.3085479736328"
"12316","-119.40165710449219","-119.40165710449219","-119.40165710449219"
"12634","-128.17526245117188","-128.17526245117188","-128.17526245117188"
"12638","-133.68597412109375","-133.68597412109375","-133.68597412109375"
"12956","-141.9237823486328","-141.9237823486328","-141.9237823486328"
"12960","-152.57432556152344","-152.57432556152344","-152.57432556152344"
"13229","-116.90827941894531","-116.90827941894531","-116.90827941894531"
"13233","-125.17059326171875","-125.17059326171875","-125.17059326171875"
"13282","-135.2049560546875","-135.2049560546875","-135.2049560546875"
"13606","-127.62810516357422","-127.62810516357422","-127.62810516357422"
"13610","-107.03953552246094","-107.03953552246094","-107.03953552246094"
"13894","-130.5028533935547","-130.5028533935547","-130.5028533935547"
"13898","-160.7563018798828","-160.7563018798828","-160.7563018798828"
"13936","-152.31094360351562","-152.31094360351562","-152.31094360351562"
"14255","-168.91241455078125","-168.91241455078125","-168.91241455078125"
"14259","-161.43385314941406","-161.43385314941406","-161.43385314941406"
"14552","-160.1010284423828","-160.1010284423828","-160.1010284423828"
"14556","-130.50076293945312","-130.50076293945312","-130.50076293945312"
"14586","-140.84698486328125","-140.84698486328125","-140.84698486328125"
"14906","-128.6990203857422","-128.6990203857422","-128.6990203857422"
"14910","-136.62014770507812","-136.62014770507812","-136.62014770507812"
"15214","-158.63287353515625","-158.63287353515625","-158.63287353515625"
"15218","-142.95811462402344","-142.95811462402344","-142.95811462402344"
"15236","-124.66259765625","-124.66259765625","-124.66259765625"
"15551","-124.6125259399414","-124.6125259399414","-124.6125259399414"
"15555","-133.82400512695312","-133.82400512695312","-133.82400512695312"
"15874","-99.0785140991211","-99.0785140991211","-99.0785140991211"
"15878","-88.82894134521484","-88.82894134521484","-88.82894134521484"
"15882","-93.35910034179688","-93.35910034179688","-93.35910034179688"
"16205","-90.29859161376953","-90.29859161376953","-90.29859161376953"
"16209","-79.4476318359375","-79.4476318359375","-79.4476318359375"
"16529","-105.72378540039062","-105.72378540039062","-105.72378540039062"
"16533","-95.87812042236328","-95.87812042236328","-95.87812042236328"
"16802","-84.7201156616211","-84.7201156616211","-84.7201156616211"
"16806","-79.87798309326172","-79.87798309326172","-79.87798309326172"
"16861","-84.52574157714844","-84.52574157714844","-84.52574157714844"
"17181","-98.54265594482422","-98.54265594482422","-98.54265594482422"
"17185","-75.3602294921875","-75.3602294921875","-75.3602294921875"
"17461","-94.01545715332031","-94.01545715332031","-94.01545715332031"
"17465","-46.39530563354492","-46.39530563354492","-46.39530563354492"
"17511","-41.66122055053711","-41.66122055053711","-41.66122055053711"
"17826","-48.184104919433594","-48.184104919433594","-48.184104919433594"
"17830","-52.71650695800781","-52.71650695800781","-52.71650695800781"
"18121","-19.320621490478516","-19.320621490478516","-19.320621490478516"
"18125","-30.10780143737793","-30.10780143737793","-30.10780143737793"
"18155","-63.42142868041992","-63.42142868041992","-63.42142868041992"
"18477","-54.400150299072266","-54.400150299072266","-54.400150299072266"
"18481","-6.970531940460205","-6.970531940460205","-6.970531940460205"
"18786","-28.14527702331543","-28.14527702331543","-28.14527702331543"
"18790","7.895259380340576","7.895259380340576","7.895259380340576"
"18808","-34.44225311279297","-34.44225311279297","-34.44225311279297"
"19127","23.946699142456055","23.946699142456055","23.946699142456055"
"19131","39.09529495239258","39.09529495239258","39.09529495239258"
"19445","9.61608600616455","9.61608600616455","9.61608600616455"
"19449","0.6271026730537415","0.6271026730537415","0.6271026730537415"
"19458","-13.519390106201172","-13.519390106201172","-13.519390106201172"
"19778","-20.832477569580078","-20.832477569580078","-20.832477569580078"
"19782","3.3760998249053955","3.3760998249053955","3.3760998249053955"
"20099","60.6077995300293","60.6077995300293","60.6077995300293"
"20103","51.4509162902832","51.4509162902832","51.4509162902832"
"20369","64.93251037597656","64.93251037597656","64.93251037597656"
"20373","99.2188720703125","99.2188720703125","99.2188720703125"
"20430","12.187270164489746","12.187270164489746","12.187270164489746"
"20754","118.85318756103516","118.85318756103516","118.85318756103516"
"20758","105.77678680419922","105.77678680419922","105.77678680419922"
"21033","63.538352966308594","63.538352966308594","63.538352966308594"
"21037","70.56890106201172","70.56890106201172","70.56890106201172"
"21083","18.713544845581055","18.713544845581055","18.713544845581055"
"21402","40.364200592041016","40.364200592041016","40.364200592041016"
"21406","68.14104461669922","68.14104461669922","68.14104461669922"
"21694","78.11934661865234","78.11934661865234","78.11934661865234"
"21698","88.08499145507812","88.08499145507812","88.08499145507812"
"21733","73.01849365234375","73.01849365234375","73.01849365234375"
"22053","60.28495788574219","60.28495788574219","60.28495788574219"
"22057","93.55828857421875","93.55828857421875","93.55828857421875"
"22354","192.78720092773438","192.78720092773438","192.78720092773438"
"22358","112.75857543945312","112.75857543945312","112.75857543945312"
"22381","44.838260650634766","44.838260650634766","44.838260650634766"
"22701","84.32627868652344","84.32627868652344","84.32627868652344"
"22705","157.1844482421875","157.1844482421875","157.1844482421875"
"23017","197.4508514404297","197.4508514404297","197.4508514404297"
"23022","138.7897491455078","138.7897491455078","138.7897491455078"
"23036","157.72335815429688","157.72335815429688","157.72335815429688"
"23355","90.13975524902344","90.13975524902344","90.13975524902344"
"23359","129.55426025390625","129.55426025390625","129.55426025390625"
"23677","73.93815612792969","73.93815612792969","73.93815612792969"
"23681","43.58315658569336","43.58315658569336","43.58315658569336"
"23942","103.9533462524414","103.9533462524414","103.9533462524414"
"23946","176.50277709960938","176.50277709960938","176.50277709960938"
"24009","136.27645874023438","136.27645874023438","136.27645874023438"
"24325","136.5852508544922","136.5852508544922","136.5852508544922"
"24329","148.77455139160156","148.77455139160156","148.77455139160156"
"24601","126.49481964111328","126.49481964111328","126.49481964111328"
"24605","155.65687561035156","155.65687561035156","155.65687561035156"
"24653","185.80514526367188","185.80514526367188","185.80514526367188"
"24972","133.67025756835938","133.67025756835938","133.67025756835938"
"24976","225.99871826171875","225.99871826171875","225.99871826171875"
"25264","165.2275390625","165.2275390625","165.2275390625"
"25268","189.74380493164062","189.74380493164062","189.74380493164062"
"25306","192.25636291503906","192.25636291503906","192.25636291503906"
"25626","213.8900146484375","213.8900146484375","213.8900146484375"
"25630","250.9853057861328","250.9853057861328","250.9853057861328"
"25926","218.85096740722656","218.85096740722656","218.85096740722656"
"25930","133.5366668701172","133.5366668701172","133.5366668701172"
"25952","111.02644348144531","111.02644348144531","111.02644348144531"
"26273","226.00064086914062","226.00064086914062","226.00064086914062"
"26277","255.27694702148438","255.27694702148438","255.27694702148438"
"26585","141.29022216796875","141.29022216796875","141.29022216796875"
"26589","169.906005859375","169.906005859375","169.906005859375"
"26601","202.13002014160156","202.13002014160156","202.13002014160156"
"26920","153.82005310058594","153.82005310058594","153.82005310058594"
"26924","183.82603454589844","183.82603454589844","183.82603454589844"
"27242","265.1756896972656","265.1756896972656","265.1756896972656"
"27246","237.6322479248047","237.6322479248047","237.6322479248047"
"27512","197.45098876953125","197.45098876953125","197.45098876953125"
"27516","228.97268676757812","228.97268676757812","228.97268676757812"
"27576","282.18646240234375","282.18646240234375","282.18646240234375"
"27895","262.0713806152344","262.0713806152344","262.0713806152344"
"27899","267.3307800292969","267.3307800292969","267.3307800292969"
"28173","279.49090576171875","279.49090576171875","279.49090576171875"
"28177","344.3380432128906","344.3380432128906","344.3380432128906"
"28226","327.05096435546875","327.05096435546875","327.05096435546875"
"28542","298.1850891113281","298.1850891113281","298.1850891113281"
"28546","270.66278076171875","270.66278076171875","270.66278076171875"
"28834","284.8111267089844","284.8111267089844","284.8111267089844"
"28838","332.2607421875","332.2607421875","332.2607421875"
"28873","325.8793029785156","325.8793029785156","325.8793029785156"
"29192","366.3664855957031","366.3664855957031","366.3664855957031"
"29196","386.8173828125","386.8173828125","386.8173828125"
"29494","385.608154296875","385.608154296875","385.608154296875"
"29498","388.8036193847656","388.8036193847656","388.8036193847656"
"29523","339.7481994628906","339.7481994628906","339.7481994628906"
"29845","323.63543701171875","323.63543701171875","323.63543701171875"
"29849","330.4831848144531","330.4831848144531","330.4831848144531"
"30157","362.1174011230469","362.1174011230469","362.1174011230469"
"30161","402.2185363769531","402.2185363769531","402.2185363769531"
"30176","345.32244873046875","345.32244873046875","345.32244873046875"
"30491","387.07763671875","387.07763671875","387.07763671875"
"30495","345.89111328125","345.89111328125","345.89111328125"
"30809","426.41168212890625","426.41168212890625","426.41168212890625"
"30813","339.220703125","339.220703125","339.220703125"
"31081","407.15948486328125","407.15948486328125","407.15948486328125"
"31085","389.7442932128906","389.7442932128906","389.7442932128906"
"31139","340.2198791503906","340.2198791503906","340.2198791503906"
"31458","371.7094421386719","371.7094421386719","371.7094421386719"
"31462","354.79840087890625","354.79840087890625","354.79840087890625"
"31745","440.8403015136719","440.8403015136719","440.8403015136719"
"31749","483.1106872558594","483.1106872558594","483.1106872558594"
"31793","527.8023071289062","527.8023071289062","527.8023071289062"
"32110","494.6882019042969","494.6882019042969","494.6882019042969"
"32114","477.3577880859375","477.3577880859375","477.3577880859375"
"32406","596.3515625","596.3515625","596.3515625"
"32410","549.5927734375","549.5927734375","549.5927734375"
"32441","505.6338195800781","505.6338195800781","505.6338195800781"
"32758","537.1008911132812","537.1008911132812","537.1008911132812"
"32762","528.8436889648438","528.8436889648438","528.8436889648438"
"33066","561.7882080078125","561.7882080078125","561.7882080078125"
"33070","584.0328369140625","584.0328369140625","584.0328369140625"
"33085","527.8111572265625","527.8111572265625","527.8111572265625"
"33404","608.5999145507812","608.5999145507812","608.5999145507812"
"33408","568.7215576171875","568.7215576171875","568.7215576171875"
"33729","634.9495239257812","634.9495239257812","634.9495239257812"
"33733","631.1051635742188","631.1051635742188","631.1051635742188"
"33740","568.0556030273438","568.0556030273438","568.0556030273438"
"34058","677.9334106445312","677.9334106445312","677.9334106445312"
"34062","631.4808959960938","631.4808959960938","631.4808959960938"
"34381","634.7140502929688","634.7140502929688","634.7140502929688"
"34385","633.1502685546875","633.1502685546875","633.1502685546875"
"34653","631.61474609375","631.61474609375","631.61474609375"
"34657","669.94921875","669.94921875","669.94921875"
"34711","616.7584838867188","616.7584838867188","616.7584838867188"
"35024","632.1947631835938","632.1947631835938","632.1947631835938"
"35028","679.2229614257812","679.2229614257812","679.2229614257812"
"35316","701.2789916992188","701.2789916992188","701.2789916992188"
"35320","726.1900634765625","726.1900634765625","726.1900634765625"
"35353","592.5228881835938","592.5228881835938","592.5228881835938"
"35665","648.2054443359375","648.2054443359375","648.2054443359375"
"35669","680.7342529296875","680.7342529296875","680.7342529296875"
"35979","791.1021118164062","791.1021118164062","791.1021118164062"
"35983","696.5435791015625","696.5435791015625","696.5435791015625"
"35994","708.852783203125","708.852783203125","708.852783203125"
"36312","669.07373046875","669.07373046875","669.07373046875"
"36316","701.2410278320312","701.2410278320312","701.2410278320312"
"36635","736.3338623046875","736.3338623046875","736.3338623046875"
"36639","793.3203125","793.3203125","793.3203125"
"36901","741.7578125","741.7578125","741.7578125"
"36905","693.7298583984375","693.7298583984375","693.7298583984375"
"36969","713.4321899414062","713.4321899414062","713.4321899414062"
"37286","717.0905151367188","717.0905151367188","717.0905151367188"
"37290","728.9656372070312","728.9656372070312","728.9656372070312"
"37564","769.8759765625","769.8759765625","769.8759765625"
"37568","759.7702026367188","759.7702026367188","759.7702026367188"
"37617","794.7135620117188","794.7135620117188","794.7135620117188"
"37842","835.6228637695312","835.6228637695312","835.6228637695312"
"37846","754.2756958007812","754.2756958007812","754.2756958007812"